MILK,BREAD,BISCUIT,CORNFLAKES,TEA,BOURNVITA,JAM,MAGGI,COFFEE,COCK,SUGER
yes,yes,yes,no,no,no,no,no,no,no,no
yes,yes,yes,yes,no,no,no,no,no,no,no
no,yes,no,no,yes,yes,no,no,no,no,no
yes,yes,no,no,no,no,yes,yes,no,no,no
no,no,yes,no,yes,no,no,yes,no,no,no
no,yes,no,no,yes,yes,no,no,no,no,no
no,no,no,yes,yes,no,no,yes,no,no,no
no,yes,yes,no,yes,no,no,yes,no,no,no
no,yes,no,no,yes,no,yes,yes,no,no,no
yes,yes,no,no,no,no,no,no,no,no,no
no,no,yes,yes,no,no,no,no,yes,yes,no
no,no,yes,yes,no,no,no,no,yes,yes,no
no,no,no,no,no,yes,no,no,yes,no,yes
no,yes,no,no,no,no,no,no,yes,yes,no
no,yes,yes,no,no,no,no,no,no,no,yes
no,no,no,yes,no,no,no,no,yes,no,yes
no,yes,no,no,no,yes,no,no,no,no,yes
no,yes,no,no,no,no,no,no,yes,no,yes
no,yes,no,no,no,no,no,no,yes,no,yes
yes,no,no,yes,yes,no,no,no,yes,no,no
